Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Szansa mutacji
146.01498490442776	150.39995981438207	0.884	1	0.10999999940395355
151.96611831091087	150.39959289514582	0.84	1	0.10999999940395355
151.4071996814497	150.39986577488577	0.881	1	0.10999999940395355
150.41680782996278	150.39992961014894	0.884	1	0.10999999940395355
148.39451422258458	150.39998687562658	0.86	1	0.10999999940395355
151.1781615011967	150.3997829741388	0.846	1	0.10999999940395355
152.42385276838777	150.39999984731816	0.892	1	0.10999999940395355
150.54200696662008	150.39999748874067	0.868	1	0.11999999918043613
150.1900999045828	150.39999691173472	0.893	1	0.11999999918043613
150.56378847925745	150.39999441944292	0.885	1	0.11999999918043613
151.129440075692	150.3999842753945	0.9	1	0.11999999918043613
151.99501999928012	150.39999932574818	0.895	1	0.11999999918043613
150.8794010860566	150.39999538441415	0.883	1	0.11999999918043613
150.86228999268042	150.39927584016635	0.863	1	0.11999999918043613
151.5300996124931	150.399940351544	0.909	1	0.11999999918043613
152.03361133662074	150.39995441101058	0.914	1	0.11999999918043613
149.862919249544	150.39998128307636	0.891	1	0.11999999918043613
150.682511252135	150.39999739912957	0.907	1	0.11999999918043613
153.57659103255438	150.39999748009961	0.905	1	0.11999999918043613
153.66221978772376	150.39999866356902	0.896	1	0.11999999918043613
152.2615409411765	150.39995809815792	0.924	1	0.11999999918043613
150.52099404622615	150.39998747780837	0.901	1	0.11999999918043613
153.17591311940922	150.39994111289556	0.92	1	0.11999999918043613
151.22873577596826	150.39865135909713	0.879	1	0.11999999918043613
151.68586874653914	150.39847437338594	0.928	1	0.11999999918043613
152.78938299243714	150.39941524011422	0.906	1	0.11999999918043613
152.48822050449579	150.39992648817227	0.924	1	0.11999999918043613
152.24784775272678	150.39970205370093	0.906	1	0.12999999895691872
152.7701177370436	150.39894851798388	0.906	1	0.12999999895691872
153.4189514326695	150.39998668795795	0.885	1	0.12999999895691872
152.8068601290056	150.39991311823425	0.93	1	0.12999999895691872
150.6565847842167	150.39999232176004	0.917	1	0.12999999895691872
152.06878408782802	150.3999891338447	0.919	1	0.12999999895691872
148.66799553618915	150.3988873079339	0.889	1	0.12999999895691872
151.5762123125213	150.39997601004313	0.892	1	0.12999999895691872
153.01244188273668	150.39998919314172	0.931	1	0.12999999895691872
152.93183330848382	150.39983817758082	0.915	1	0.12999999895691872
153.27372194363184	150.3999950286839	0.946	1	0.12999999895691872
152.33325799252395	150.3999682878048	0.912	1	0.12999999895691872
148.8653845706705	150.39988973280333	0.874	1	0.12999999895691872
149.5691657561261	150.3999834795693	0.888	1	0.12999999895691872
149.21525994749328	150.3999622813526	0.9	1	0.12999999895691872
153.26336289849013	150.39983685075708	0.879	1	0.12999999895691872
150.63588332969618	150.39999922471577	0.875	1	0.12999999895691872
151.22866515369623	150.3996178179689	0.908	1	0.12999999895691872
153.90191609793612	150.39999641934293	0.91	1	0.12999999895691872
152.81653177885974	150.39997781067058	0.874	1	0.12999999895691872
152.39155789948148	150.39997715062543	0.932	1	0.1399999987334013
151.9093465397146	150.39999925816824	0.922	1	0.1399999987334013
154.2805383878229	150.39999716147676	0.926	1	0.1399999987334013
152.0977548427328	150.39919709207084	0.911	1	0.1399999987334013
145.22550226865664	150.39915814222158	0.916	1	0.1399999987334013
151.76708541557213	150.39998054420676	0.925	1	0.1399999987334013
151.916333060562	150.39999687532415	0.915	1	0.1399999987334013
151.80713646618972	150.39999361747692	0.86	1	0.1399999987334013
151.6583095572772	150.39946989485773	0.92	1	0.1399999987334013
152.55475095129702	150.39999930750284	0.915	1	0.1399999987334013
153.6969224959231	150.39999404717702	0.901	1	0.1399999987334013
152.98905543180308	150.39881991607012	0.913	1	0.1399999987334013
153.2000340299633	150.39999925553238	0.924	1	0.1399999987334013
151.2151149801764	150.3997942345171	0.924	1	0.1399999987334013
152.28528002451714	150.39997869688	0.891	1	0.1399999987334013
